,분야,회사명
1,교육,주식회사 퍼스트몽키즈
2,교육,주식회사 숲이답이다
3,교육,하와이컴퍼니
4,교육,꿈선생
5,교육,R2C 컴퍼니
6,교육,주식회사 메이든보이지
7,교육,주식회사 오오칠팔구
8,교육,주식회사메이캔
9,교육,(주) 포켓힐링
10,교육,(주)플레듀
11,교육,진스토리코리아 주식회사
12,교육,주식회사 메이드올
13,교육,미임팩트
14,교육,주식회사 게임프로
15,교육,주식회사 크리플
16,교육,호두랩스
17,교육,랩엠제로
18,교육,주식회사 인터갤러틱
19,교육,(주)슈퍼아이콘
20,교육,웹기프트
21,교육,주식회사 위드인넷
22,교육,주식회사 신인류콘텐츠
23,교육,큐레아
24,교육,렙톤소프트
25,교육,(주)아바쿠스테크놀로지
26,교육,BlockAI
27,교육,(주)공감오래콘텐츠
28,교육,주식회사 레티튜
29,교육,주식회사 비버블록
30,교육,(주) 야호랩
31,교육,주식회사 커넥티드 유니버스
32,교육,(주)메타캠프
33,교육,아이프롬주식회사
34,교육,(주)엑스알터치
35,교육,케이엠에듀
36,교육,데일리브이
37,교육,믹스비전 (주)
38,교육,(주)키즈페이
39,교육,캔디데이트
40,교육,(주)플렉슬
41,교육,한국게임화연구원
42,교육,주식회사 더제주스토리
43,교육,부지런컴퍼니
44,교육,주식회사 패스캐처
45,교육,주식회사 아무랩스
46,교육,크디랩 주식회사
47,교육,올랭귀지 주식회사
48,교육,더에이아이랩
49,교육,(주)에프엔제이
50,교육,디에이치오션
51,교육,위솝
52,교육,아이디자인랩
53,교육,주식회사 맞추다
54,교육,프릭스 헬스케어
55,교육,(주)울타리스쿨
56,교육,주식회사 썸 코리아
57,교육,(주)피씨엔씨
58,교육,넥스트퍼스(NextPus)
59,교육,애스커
60,교육,주식회사 에딘트
61,교육,러닝스푼즈
62,교육,(주)스판링크
63,교육,(주)교육여행연구소
64,교육,(주)미리내테크놀로지스
65,교육,(주)코고
66,교육,주식회사 에이스에듀
67,교육,주식회사 리피치
68,교육,(주)유패스홀딩스
69,교육,(주)밍글콘
70,교육,아자스쿨주식회사
71,교육,국제지속가능인증원
72,교육,(주)뉴베이스
73,교육,(주)고파
74,교육,포그라운드(주)
75,교육,Under:B
76,교육,그래도팜 농업회사법인(주)
77,교육,골드래빗(주)
78,교육,주식회사 이노컨
79,교육,스타트업코드
80,교육,주식회사 위키즈
81,교육,주식회사 이미지마이닝
82,교육,에듀하이브
83,교육,주식회사 마인드몬스터
84,교육,(주)포인블랙
85,교육,주식회사 다비다
86,교육,주식회사 만나통신사
87,교육,문카데미
88,교육,하이로컬
89,교육,제이지테크
90,교육,더블유코딩 | W Coding
91,교육,pixcolo
92,교육,(주)코드넛
93,교육,라이프 플래닝 랩
94,교육,(주)더도슨트
95,교육,마스터즈코딩학원
96,교육,쉐어러스
97,교육,(주)티스쿨컴퍼니
